2016-05-10 02:42:54,208,0,3,257,199,168,174,35,-4588,144,44,-5,35,49,12,62,-21,-63,-69,31,18,-21,1,6,-1,3,-7,14,0,158,395,54,372,38,298,352,27,107,50,12,541,93,-182,220,-234,190,-149,121,-86,72,-61,52,-52,48,-41,33,-18,7,-1,2
2016-05-10 02:42:57,199,0,3,235,183,141,238,31,-4640,186,45,-4,57,46,-15,73,-17,-44,-66,39,17,-50,-17,45,5,-19,-8,31,0,150,582,26,293,25,185,427,40,117,42,7,450,76,-198,249,-263,208,-153,118,-73,46,-32,20,-29,28,-18,18,-11,5,-1,2
2016-05-10 02:42:59,176,0,3,232,191,136,207,28,-4660,190,42,19,56,35,-5,41,-20,-18,-68,7,31,-13,-12,17,2,-2,-12,14,0,144,291,44,331,44,145,491,60,139,63,13,633,93,-188,222,-230,187,-148,120,-83,60,-45,31,-32,29,-26,30,-25,14,-1,2
2016-05-10 02:43:01,169,0,3,221,184,137,223,27,-4654,195,39,8,33,36,-2,75,-24,-40,-64,38,14,-48,-18,42,8,-14,-5,35,0,172,614,35,261,51,261,463,39,137,58,7,578,70,-205,247,-251,196,-135,101,-65,42,-37,32,-39,37,-24,23,-19,8,-1,2
2016-05-10 02:43:04,182,0,3,234,193,145,219,32,-4641,183,34,-10,61,51,9,50,-20,-21,-72,13,24,-16,-8,8,-0,10,-6,4,0,141,219,62,354,43,219,479,46,146,50,6,555,91,-200,252,-279,237,-180,137,-82,49,-35,22,-25,30,-30,32,-25,12,-1,2
2016-05-10 02:43:06,200,0,3,249,194,150,221,32,-4605,161,37,-11,33,46,2,72,-32,-52,-56,43,33,-36,-17,27,9,-23,-0,35,0,129,578,38,295,24,346,413,36,129,80,8,415,116,-193,241,-267,232,-185,150,-96,62,-47,32,-35,34,-25,22,-13,6,-1,2
2016-05-10 02:43:09,212,0,3,249,192,165,214,35,-4583,152,29,-2,48,38,15,47,-14,-16,-70,17,10,-11,-18,15,11,1,-9,10,0,115,303,54,320,58,169,411,89,184,57,22,615,124,-202,267,-305,272,-221,176,-122,82,-52,31,-24,19,-18,17,-14,9,-1,2
2016-05-10 02:43:11,190,0,3,236,188,148,204,33,-4598,176,44,-4,30,40,-15,78,-22,-51,-63,41,16,-41,-22,37,14,-14,-4,34,0,143,558,40,250,25,241,380,40,113,42,7,549,107,-200,253,-268,210,-147,106,-61,44,-42,41,-56,56,-47,41,-24,12,-1,2
2016-05-10 02:43:14,198,0,3,242,191,150,240,33,-4572,178,37,-17,41,46,10,82,-18,-31,-66,33,17,-20,-13,17,3,-4,-7,17,0,156,327,48,410,29,133,529,27,108,42,8,455,84,-196,249,-269,210,-152,118,-76,60,-49,36,-38,31,-28,30,-20,10,-1,2
2016-05-10 02:43:16,201,0,3,249,183,151,193,33,-4580,148,23,-13,35,53,15,64,-33,-41,-62,54,17,-23,-27,18,8,-10,-8,27,0,170,415,72,337,42,293,420,35,147,80,10,432,128,-215,293,-324,276,-206,146,-84,46,-21,10,-13,12,-5,4,-3,3,-1,2
2016-05-10 02:43:18,201,0,3,244,191,148,206,33,-4636,172,57,9,40,50,-6,82,-15,-37,-74,39,23,-37,-12,19,11,-15,-2,22,0,140,491,63,262,21,159,501,33,100,60,9,463,68,-190,232,-241,187,-148,120,-77,51,-36,31,-42,42,-39,34,-19,10,-1,2
2016-05-10 02:43:20,180,0,3,233,195,135,217,30,-4647,199,54,5,41,39,-16,70,-11,-40,-64,17,21,-25,-17,28,10,-15,-4,17,0,152,504,43,312,25,197,469,58,83,45,4,494,89,-182,205,-211,163,-123,90,-43,26,-19,21,-34,31,-28,29,-21,10,-1,2
2016-05-10 02:43:22,140,0,3,206,185,116,233,24,-4606,220,52,34,51,34,-8,62,-14,-55,-59,40,22,-36,-21,39,7,-19,-4,30,0,197,574,45,315,28,187,642,24,95,40,5,446,87,-185,194,-181,128,-87,71,-49,35,-31,23,-27,19,-9,13,-9,6,-1,2
2016-05-10 02:43:25,181,0,3,231,190,135,218,29,-4572,178,39,16,47,51,-6,78,-20,-39,-74,18,29,-11,-13,18,2,1,-5,12,0,139,371,73,362,35,244,482,41,112,37,10,470,104,-186,212,-207,153,-121,112,-82,62,-45,33,-36,33,-29,31,-25,13,-1,2
2016-05-10 02:43:27,185,0,3,235,196,149,192,31,-4612,181,58,9,40,34,6,83,-16,-56,-89,51,24,-36,-27,44,5,-18,-0,36,0,167,680,31,289,18,263,412,24,143,47,12,453,96,-194,233,-253,207,-157,129,-82,52,-48,44,-52,43,-18,9,-3,2,-1,2
2016-05-10 02:43:29,183,0,3,242,197,144,208,33,-4620,184,51,-1,25,33,-5,56,-12,-27,-74,13,15,-14,-5,9,6,-0,-5,10,0,155,270,67,403,32,129,511,33,136,54,8,556,89,-191,234,-251,207,-168,132,-88,63,-46,38,-36,30,-24,19,-13,8,-1,2
2016-05-10 02:43:32,206,0,3,250,198,157,215,36,-4580,169,61,-13,25,29,9,72,-23,-45,-81,52,12,-33,-28,34,12,-25,-1,29,0,109,585,31,258,17,303,450,56,87,52,18,392,111,-190,234,-258,215,-168,137,-91,64,-52,47,-53,52,-43,35,-24,12,-1,2
2016-05-10 02:43:34,228,0,3,282,214,165,191,40,-4556,150,60,-25,20,39,16,63,-18,-34,-70,22,15,-10,-6,10,8,-2,-6,12,0,177,225,49,467,45,176,457,38,94,60,8,506,81,-158,186,-205,152,-124,108,-76,72,-60,55,-59,53,-50,40,-22,12,-1,2
2016-05-10 02:43:36,189,0,3,235,188,140,229,29,-4584,190,8,-17,31,28,13,88,-21,-61,-63,50,23,-27,-21,36,5,-19,-6,28,0,171,594,64,348,31,405,423,30,97,39,9,323,106,-187,210,-210,165,-119,98,-67,47,-41,38,-43,37,-23,19,-13,5,-1,2
2016-05-10 02:43:39,191,0,3,237,194,146,224,32,-4638,189,47,-5,33,25,13,84,-7,-35,-81,28,8,-22,-12,30,1,-6,-17,15,0,156,461,31,360,41,104,500,38,104,41,5,481,55,-197,243,-263,220,-172,142,-99,64,-41,23,-26,27,-20,19,-17,10,-1,2
2016-05-10 02:43:41,167,0,3,224,185,136,251,28,-4605,215,38,-9,11,36,9,78,-22,-41,-67,32,17,-36,-23,37,16,-16,-6,25,0,180,537,42,317,23,308,465,52,98,41,11,423,87,-196,230,-228,169,-121,99,-71,57,-46,39,-46,37,-26,18,-9,7,-1,2
2016-05-10 02:45:07,39,0,2,81,107,19,128,6,-4310,516,91,31,28,38,41,25,-13,-15,-24,15,3,4,-7,12,7,-17,-3,5,0,150,79,22,239,6,95,1161,7,62,117,4,466,32,-194,104,-39,46,-15,11,-16,1,1,7,-4,1,-4,0,-2,4,0,2
2016-05-10 02:45:09,37,0,3,76,100,16,116,5,-4434,507,80,5,48,62,34,32,-32,-39,-51,2,-15,-31,-20,16,7,-4,-8,5,1,171,130,10,132,7,148,713,3,36,47,11,929,28,-198,114,-38,13,28,-2,-18,-1,3,-4,3,8,-6,-6,3,3,0,2
2016-05-10 02:45:11,45,0,2,109,148,22,250,6,-5054,366,87,90,36,62,53,25,-13,-40,-39,12,15,-6,-5,27,17,-19,-9,6,0,140,134,37,261,8,89,993,27,67,23,10,562,58,-183,124,-77,53,-30,21,-17,17,-11,8,-4,3,-5,4,-3,2,0,2
2016-05-10 02:45:13,23,0,2,53,94,0,21,3,-4551,485,196,165,71,39,36,22,-7,-17,-27,-22,2,13,17,28,23,7,11,11,0,114,40,6,108,4,7,10,6,9,14,5,1653,6,-155,27,12,10,4,0,2,3,1,1,3,-0,-4,-4,-7,8,-1,-2
