@relation valence

@attribute Zcr numeric
@attribute Energy numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute MFCC14 numeric
@attribute MFCC15 numeric
@attribute MFCC16 numeric
@attribute MFCC17 numeric
@attribute MFCC18 numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute LPC10 numeric
@attribute LPC11 numeric
@attribute LPC12 numeric
@attribute LPC13 numeric
@attribute LPC14 numeric
@attribute valence {-2,-1,0,1,2}

@data
0.4897543,1.8548757,0.5798433,0.450974,0.4947161,0.4784785,0.9929793,0.3856504,0.3458468,0.6296056,0.6726994,0.4759025,0.1927823,0.3534882,0.3615982,0.6413407,0.673496,0.4605344,0.3334777,0.3787564,0.4772699,0.6959248,0.8127972,0.7222099,0.3953564,0.0698532,0.3586566,0.2101555,0.596623,0.1326207,0.2953252,0.7178954,0.2600469,0.2656687,0.0770755,0.5355284,0.3331089,0.4391868,0.5152694,0.5462801,0.3735469,0.4967451,0.5214259,0.2461334,0.703958,0.1966284,0.6602478,0.558171,0.5566876,0.2124556,0.8751633,-1
0.4608072,1.2876542,0.4888938,0.4744361,0.499069,0.4997118,0.9615187,0.4247916,0.4079027,0.6607266,0.6814966,0.5569513,0.2593817,0.7101304,0.470201,0.6059206,0.7746656,0.6156023,0.436846,0.272356,0.4177367,0.6268086,0.6324408,0.6843435,0.3455325,0.1935968,0.3989795,0.0881471,0.6292269,0.2320792,0.4517644,0.3411441,0.316071,0.243099,0.0723326,0.4488068,0.1769868,0.3196793,0.6453437,0.4759604,0.379749,0.4610137,0.5426045,0.3245811,0.5798453,0.2010164,0.5830374,0.5786974,0.683792,0.2335174,0.7457933,-1
0.6832427,1.3978833,1.0583114,0.4637189,0.4688254,0.8475344,0.982163,0.3391174,0.6055035,0.5756193,0.5712977,0.2715566,0.1841798,0.5115584,0.5527327,0.6664596,0.7751621,0.6483127,0.6160807,0.5253474,0.4726385,0.6294821,0.5425104,0.7084875,0.3489926,0.1993582,0.3315514,0.2826547,0.6236595,0.244049,0.4956579,0.4230508,0.2132737,0.3091867,0.0668248,0.2375923,0.2145772,0.7450372,0.3598631,0.3566847,0.574782,0.4757244,0.6289328,0.1860464,0.7688441,0.1907585,0.5623499,0.4813812,0.6116002,0.2798514,0.9998248,-1
0.2985511,1.450287,0.4416422,0.2451606,0.5814949,0.3591672,0.902414,0.4404999,0.5673541,0.7495636,0.6181289,0.4008711,0.243751,0.6216005,0.6258087,0.7378352,0.7401836,0.5148449,0.446889,0.3569997,0.3967349,0.6174738,0.6403933,0.7212504,0.2472782,0.1726517,0.265698,0.1048737,0.4082081,0.1237548,0.3050773,0.3260391,0.2299883,0.2822479,0.0533914,0.5817004,0.2070893,0.3902896,0.5628263,0.5071533,0.3798529,0.498429,0.540809,0.2432454,0.7071286,0.210136,0.4761603,0.5668779,0.6997425,0.2613057,0.8232785,-1
0.8394046,0.955153,0.9381401,0.569033,0.5999146,1.1225569,0.9367249,0.3225979,0.4656201,0.6150004,0.5619624,0.4691655,0.3173115,0.5293561,0.5686022,0.698717,0.6938259,0.5141782,0.4624945,0.4019796,0.4360602,0.7260522,0.6170873,0.6060785,0.4619467,0.264681,0.6614939,0.1343884,0.2695459,0.2359071,0.3642369,0.3924377,0.5423485,0.1583812,0.1319525,0.3813709,0.2247126,0.6309791,0.4209192,0.478806,0.4365277,0.4348851,0.6285102,0.10676,0.8677115,0.1661632,0.678501,0.45689,0.6741591,0.1249522,1.034032,-1
0.4920396,1.0017287,0.4305113,0.4281859,0.5532089,0.5270119,0.8732634,0.4442699,0.3789865,0.7658593,0.8135551,0.4847139,0.2898732,0.7185234,0.4956836,0.6065278,0.6927065,0.5919155,0.602021,0.4462773,0.4677748,0.687731,0.6776146,0.6267133,0.3826338,0.2425127,0.562047,0.1308347,0.5702857,0.1911112,0.4479834,0.714002,0.2227351,0.0832694,0.0351791,0.4545851,0.1889674,0.3091611,0.6279362,0.5213813,0.3797798,0.458843,0.5002457,0.2555704,0.6434269,0.219557,0.5730305,0.6632069,0.5340157,0.3256059,0.795402,-1
0.9506224,2.3052719,0.964066,0.5694292,0.491544,1.0507679,1.0086738,0.3235606,0.5427343,0.6052564,0.5288065,0.346891,0.3155686,0.5701892,0.4505392,0.504915,0.580909,0.5353593,0.4990633,0.3408834,0.3257386,0.591814,0.6719684,0.7882443,0.5564925,0.3052056,0.14642,0.1343658,0.3462688,0.5643371,0.3177659,0.4189207,0.1113012,0.1588522,0.0860441,0.3429993,0.1623604,0.7401274,0.3235587,0.4819102,0.472598,0.4831817,0.5720598,0.2371671,0.7184459,0.2224124,0.4767164,0.6675298,0.513629,0.3401649,0.7055679,-1
0.5369837,1.4874864,0.69553,0.3594069,0.5475968,0.5613897,0.9312984,0.3441335,0.5810824,0.6881175,0.5554384,0.2084788,0.1075762,0.3572545,0.34148,0.4886421,0.5929636,0.5468675,0.6221845,0.5330194,0.5708529,0.7971732,0.7619554,0.753575,0.2335478,0.1920324,0.2973091,0.3639838,0.2790474,0.1327799,0.2964924,0.2703474,0.1582286,0.159565,0.0793841,0.3041226,0.2183095,0.5322916,0.5032134,0.460681,0.4089187,0.4309531,0.5703016,0.2178328,0.7726462,0.1955814,0.5367322,0.6077379,0.5766389,0.3638696,0.7448124,-1
0.8767311,1.0240801,1.0307103,0.6024011,0.601616,1.1063791,0.954553,0.3382225,0.5092537,0.5923562,0.6109396,0.5222817,0.4067418,0.5620213,0.4003786,0.6511426,0.7247835,0.5313035,0.4324657,0.259,0.336815,0.7369619,0.7630357,0.7123863,0.3583612,0.1788834,0.1698363,0.0617026,0.5362096,0.2767291,0.3688989,0.5844301,0.2474499,0.1780939,0.0589198,0.4164254,0.2553987,0.675409,0.4717907,0.304263,0.5557428,0.3071292,0.7315706,0.1740511,0.7314133,0.2246502,0.6306758,0.3640936,0.7568897,0.1394076,0.8153457,-1
0.4768042,1.1638616,0.5555866,0.3457008,0.5956128,0.5078007,0.871613,0.3318927,0.5028309,0.8477419,0.6334077,0.4593028,0.4215748,0.4119215,0.5233141,0.5730462,0.574957,0.4870252,0.477837,0.4476208,0.5249087,0.7666252,0.7545714,0.7042531,0.2616183,0.2086967,0.634186,0.1845514,0.1633965,0.0834203,0.2997036,0.7336224,0.2081727,0.0651975,0.2281089,0.4853274,0.1664819,0.3981357,0.6026071,0.4813577,0.3440364,0.4737919,0.4889985,0.2410358,0.8190955,0.2165526,0.4371757,0.613805,0.6170189,0.289176,0.7525491,-1
