@relation arousal

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute arousal {-2,-1,0,1,2}

@data
34,1,2,62,100,8,273,5,-39,5,1,0,0,1,1,0,0,0,0,0,0,0,118,0,1,2,9,1,3,0,1,0,0,11,0,-181,71,-12,36,-10,-9,8,9,-19,-2
31,1,2,58,100,8,256,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,112,0,1,1,12,1,3,0,0,0,0,10,0,-178,67,-11,37,-14,-6,7,10,-21,-2
38,2,2,60,95,5,219,5,-39,5,1,1,0,0,0,0,0,0,0,0,0,1,131,0,7,1,9,1,2,0,1,0,0,7,0,-179,63,-1,34,-12,-10,4,10,-13,-2
31,1,2,56,96,6,306,4,-40,5,1,1,0,1,1,0,0,-1,0,0,0,0,111,0,1,1,7,0,3,0,3,0,0,11,0,-175,59,-4,31,-9,-8,11,8,-16,-2
29,1,2,56,104,4,333,3,-40,5,1,1,1,1,1,0,0,0,0,0,0,1,119,1,3,1,12,1,1,0,2,0,0,8,0,-170,55,-7,36,-13,-10,8,12,-21,-2
40,1,2,65,102,24,260,6,-39,5,1,0,0,1,1,0,0,-1,0,0,0,0,160,0,1,1,9,2,2,0,1,0,0,10,0,-179,67,-7,39,-15,-13,8,12,-18,-2
34,1,2,62,103,10,221,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,115,0,1,1,9,1,3,0,1,0,0,11,0,-174,59,-8,43,-20,-3,2,15,-17,-2
40,2,2,63,100,15,261,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,157,0,5,0,11,1,1,0,1,0,0,8,0,-177,61,0,30,-13,-8,6,11,-14,-2
37,1,2,62,98,15,241,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,0,134,0,3,1,6,2,3,0,1,0,0,11,0,-182,72,-13,44,-21,-6,7,14,-20,-2
38,1,2,62,95,16,225,6,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,118,0,2,2,9,2,3,0,1,0,0,10,0,-192,85,0,28,-21,-11,11,12,-18,-2
35,1,2,62,108,14,308,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,116,0,1,2,8,1,2,0,1,0,0,10,0,-172,56,-6,38,-12,-10,5,9,-16,-2
34,1,2,65,111,10,308,5,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,131,0,3,1,13,1,1,0,1,0,0,7,0,-169,55,-10,46,-21,-6,3,17,-20,-2
34,1,2,60,100,14,292,5,-40,5,1,1,0,1,1,0,0,-1,0,0,0,0,134,1,2,1,12,2,2,0,2,0,0,8,0,-187,81,-12,39,-23,-7,10,10,-20,-2
34,1,2,57,92,7,279,5,-39,6,1,1,0,0,0,0,0,0,0,0,0,0,108,0,0,2,7,0,7,0,1,0,0,11,0,-179,59,1,42,-27,2,8,9,-18,-2
34,1,2,62,109,10,288,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,147,0,3,0,10,1,1,0,2,0,0,9,0,-173,62,-14,45,-18,-9,4,15,-20,-2
35,1,2,62,106,16,285,5,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,125,1,3,1,11,1,1,0,2,0,0,8,0,-174,64,-16,41,-11,-8,2,13,-18,-2
32,1,2,62,102,11,301,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,118,1,2,1,9,0,2,0,1,0,0,11,0,-174,61,-6,35,-13,-7,2,13,-13,-2
31,1,2,66,116,10,281,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,107,0,2,1,10,1,2,0,1,0,0,9,0,-167,57,-17,41,-10,-7,1,14,-17,-2
31,1,2,62,110,8,263,4,-40,5,1,1,0,1,1,1,0,0,0,0,0,0,110,1,2,1,10,1,1,0,3,0,0,9,0,-172,61,-14,43,-15,-6,1,13,-17,-2
31,1,2,57,95,10,227,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,108,0,2,1,8,2,3,0,1,0,0,12,0,-182,71,-6,32,-12,-7,8,10,-19,-2
30,1,2,59,107,9,249,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,115,0,2,1,13,2,1,0,1,0,0,8,0,-176,69,-10,33,-14,-11,6,14,-20,-2
31,1,2,64,108,8,308,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,114,0,2,1,10,1,2,0,1,0,0,10,0,-169,62,-16,31,-6,-5,5,9,-19,-2
34,1,2,59,96,14,254,5,-39,5,1,0,0,1,1,0,0,0,0,0,0,1,120,0,2,2,6,1,3,0,1,0,0,12,0,-191,84,-5,33,-18,-12,9,10,-19,-2
32,1,2,60,104,5,247,4,-40,5,1,1,0,1,1,0,0,-1,0,0,0,0,115,0,2,1,8,1,2,0,1,0,0,11,0,-168,52,-12,40,-9,-4,-3,14,-16,-2
33,1,2,72,122,11,259,5,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,124,0,2,1,11,1,2,0,1,0,0,10,0,-157,43,-21,47,-7,-8,-5,19,-15,-2
29,1,2,60,111,5,332,4,-40,5,1,1,1,1,1,0,0,0,0,0,0,0,110,0,1,1,11,1,2,0,0,0,0,9,0,-169,59,-16,46,-19,-7,4,19,-25,-2
33,1,2,63,105,14,241,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,106,1,2,1,8,0,3,0,1,0,0,11,0,-175,62,-3,31,-12,-9,4,13,-13,-2
25,1,2,53,100,4,345,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,101,0,1,1,12,0,2,0,1,0,0,8,0,-172,56,-3,34,-15,-7,5,12,-15,-2
31,1,2,56,100,9,289,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,107,1,2,0,10,0,1,0,1,0,0,9,0,-170,53,-6,36,-14,1,1,13,-15,-2
28,1,2,55,102,6,286,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,118,1,1,1,16,1,1,0,1,0,0,7,0,-179,70,-11,34,-14,-9,9,11,-20,-2
36,1,2,60,101,16,351,5,-40,5,1,1,0,1,1,0,0,0,0,0,0,0,128,0,1,1,11,1,3,0,1,0,0,9,0,-181,69,-3,34,-19,-2,2,13,-16,-2
37,1,2,61,97,19,327,5,-39,5,1,0,0,1,1,0,0,0,0,0,0,0,114,1,2,1,10,1,2,0,1,0,0,9,0,-179,63,4,25,-13,3,-7,9,-6,-2
31,1,2,56,99,8,274,4,-40,5,1,1,1,1,1,0,0,0,0,0,0,1,113,0,1,2,15,0,2,0,1,0,0,7,0,-169,49,3,27,-6,-8,4,7,-11,-2
35,1,2,60,95,12,257,5,-39,5,1,0,0,1,1,0,0,0,0,0,0,0,129,1,2,1,7,1,2,0,2,0,0,10,0,-185,73,-5,35,-10,-9,3,9,-12,-2
32,1,2,57,94,22,236,5,-40,5,1,1,1,1,1,0,0,0,0,0,0,0,132,0,1,1,11,2,1,1,2,0,0,10,0,-190,82,-3,29,-12,-12,6,7,-12,-2
37,3,2,66,108,9,185,5,-38,5,1,1,1,1,1,1,0,0,0,0,0,1,120,0,6,1,14,1,1,0,1,0,0,5,0,-181,66,6,23,-8,-12,2,8,-9,1
45,5,2,70,105,26,270,6,-37,5,1,1,0,0,1,0,0,0,0,0,0,1,138,1,5,1,9,2,1,0,5,0,0,6,0,-196,95,-1,15,-13,-6,4,11,-9,1
33,4,2,56,89,9,246,5,-39,5,1,1,0,0,1,0,0,0,0,0,0,1,118,0,4,1,9,1,1,0,5,0,0,7,0,-196,92,-2,23,-17,-10,10,13,-19,1
38,3,2,77,126,15,239,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,133,1,3,1,11,1,1,0,3,0,0,7,0,-167,54,-9,40,-17,-7,-2,22,-17,1
47,6,2,72,106,18,237,6,-37,5,1,1,0,1,1,0,0,0,0,0,0,1,129,1,6,2,9,1,1,1,4,0,0,5,0,-194,99,-13,18,-11,-3,6,12,-13,1
33,1,2,73,133,8,310,4,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,121,2,3,0,12,1,1,0,2,0,0,7,0,-147,22,-5,45,-10,-9,-1,16,-14,1
40,4,3,67,108,17,311,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,148,1,1,1,11,2,1,0,2,0,0,8,0,-184,80,-7,25,-14,-7,7,15,-23,1
43,3,2,80,125,21,277,5,-39,5,1,0,0,1,1,0,0,0,0,0,0,1,133,1,4,1,8,1,1,1,2,0,0,10,0,-152,33,-10,36,-1,-6,-1,13,-9,1
37,4,2,63,107,17,304,4,-39,4,1,1,1,1,1,0,0,0,0,0,0,1,144,1,2,0,15,2,1,0,2,0,0,5,0,-184,87,-20,30,-11,-7,6,14,-23,1
37,4,2,61,87,22,282,6,-38,6,1,1,0,1,1,0,0,0,0,0,0,0,105,1,2,2,5,1,3,0,1,0,0,12,0,-206,106,2,21,-23,-9,8,13,-15,1
40,5,2,70,107,18,270,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,0,133,1,2,2,8,2,1,0,2,0,0,9,0,-186,88,-22,34,-13,-2,0,10,-16,1
41,3,2,60,87,16,270,6,-38,6,1,0,0,1,1,0,0,0,0,0,0,0,133,0,2,1,5,1,4,0,1,0,0,13,0,-190,76,5,26,-20,0,4,12,-17,1
42,7,2,64,92,16,259,5,-37,5,1,0,0,1,1,0,0,0,0,0,0,1,138,1,3,1,10,1,1,0,2,0,0,9,0,-191,83,3,16,-13,-2,9,9,-15,1
35,2,2,68,120,11,245,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,126,0,3,1,12,1,0,0,4,0,0,5,0,-166,57,-16,39,-13,-13,11,18,-24,1
37,3,2,61,95,10,276,5,-38,5,1,1,0,0,0,0,0,0,0,0,0,1,122,1,7,1,6,1,1,0,2,0,0,10,0,-186,74,1,24,-14,-5,12,9,-17,1
36,4,2,69,107,10,238,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,123,1,3,1,10,1,2,0,3,0,0,8,0,-174,60,-3,25,-5,-5,4,12,-15,1
45,2,2,70,105,20,248,6,-38,5,1,0,0,1,1,0,0,0,0,0,0,0,119,0,1,3,7,1,4,0,1,0,0,11,0,-178,58,6,30,-10,-9,1,10,-12,1
39,5,2,64,99,21,246,5,-39,5,0,1,0,1,1,0,0,0,0,0,0,1,131,1,2,2,13,0,1,0,2,0,0,7,0,-192,86,-1,25,-14,-11,3,12,-16,1
41,3,2,69,101,22,277,6,-38,6,1,0,0,1,1,0,0,0,0,0,0,1,131,1,4,1,10,1,2,0,1,0,0,9,0,-183,64,12,23,-17,-2,5,12,-16,1
35,2,2,58,92,14,294,5,-39,5,1,1,0,1,0,0,0,0,0,0,0,0,110,1,2,0,7,1,2,1,2,0,0,11,0,-173,55,4,24,-8,-6,4,8,-10,1
31,6,2,62,103,7,215,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,125,1,2,1,16,1,2,0,4,0,0,3,0,-179,62,9,22,-10,-10,5,11,-12,1
39,6,2,61,92,10,255,5,-38,5,1,1,0,0,0,0,0,0,0,0,0,1,145,1,6,1,8,0,1,0,2,0,0,9,0,-184,72,0,20,-6,-3,8,7,-16,1
33,2,2,57,96,13,332,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,113,0,3,1,9,1,1,0,1,0,0,9,0,-179,64,3,23,-12,-5,7,11,-15,1
43,3,2,68,97,24,300,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,156,1,4,1,10,1,1,1,2,0,0,6,0,-191,94,-13,18,-12,2,1,16,-19,1
47,5,3,73,103,38,229,6,-37,5,0,1,0,1,1,0,0,0,0,0,0,1,126,1,3,0,15,2,1,0,2,0,0,5,0,-197,96,-1,20,-33,12,7,18,-24,1
31,4,2,58,91,11,209,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,115,1,1,1,8,0,2,1,2,0,0,12,0,-196,90,1,20,-17,-7,12,10,-18,1
53,4,2,71,86,39,219,8,-37,6,0,0,0,1,1,0,0,-1,0,0,0,1,166,1,3,2,6,2,3,1,1,0,0,10,0,-209,115,-10,22,-16,2,0,4,-11,1
38,2,2,59,98,18,304,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,129,1,2,1,8,1,1,0,2,0,0,9,0,-186,78,-5,30,-17,-4,6,10,-20,1
55,4,2,77,104,49,239,7,-37,5,0,0,0,1,1,1,0,-1,0,0,0,0,158,1,3,2,6,3,2,1,4,0,0,9,0,-205,113,-14,23,-18,5,-7,10,-14,1
36,2,2,59,90,16,248,5,-39,5,1,1,0,1,1,0,0,-1,0,0,0,0,128,0,2,2,6,2,2,0,1,0,0,12,0,-185,70,7,23,-16,-4,7,11,-16,1
47,4,2,73,118,22,241,6,-38,5,1,0,0,1,1,0,0,0,0,0,0,1,136,1,2,2,7,1,1,0,2,0,0,9,0,-165,44,1,35,-20,2,5,13,-17,1
41,4,2,64,91,23,245,6,-37,5,1,1,0,1,1,0,0,-1,0,0,0,1,153,1,2,1,7,2,2,0,3,0,0,9,0,-200,97,8,6,-16,0,11,10,-16,1
37,2,2,71,122,9,256,5,-39,5,1,0,0,1,1,0,0,0,0,0,0,1,121,1,3,1,11,1,1,0,3,0,0,6,0,-155,25,8,38,-20,3,7,12,-21,1
39,3,2,60,84,19,350,6,-38,6,1,0,0,1,1,0,0,0,0,0,0,1,112,1,2,2,8,1,2,1,1,0,0,10,0,-195,86,8,18,-18,-6,9,13,-18,1
53,5,2,71,87,40,211,8,-36,6,0,0,0,1,1,0,0,0,0,0,0,1,128,1,2,2,8,1,3,1,2,1,0,10,0,-210,109,14,1,-22,4,7,17,-25,1
39,3,2,73,118,15,329,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,0,128,1,4,1,12,1,2,0,2,0,0,6,0,-172,56,-1,35,-16,-5,1,17,-18,1
52,2,2,73,99,44,247,7,-38,5,0,0,0,1,1,0,0,-1,0,0,0,0,156,1,3,1,8,3,2,1,2,0,0,9,0,-199,97,-3,30,-21,-10,6,14,-19,1
38,2,2,62,99,18,301,5,-39,5,1,1,1,1,1,0,0,0,0,0,0,1,127,1,2,2,13,1,2,0,1,0,0,6,0,-186,76,4,21,-13,-11,8,11,-14,1
38,3,2,63,98,13,221,5,-38,5,1,0,0,1,0,0,0,0,0,0,0,1,128,2,6,1,8,1,1,0,3,0,0,9,0,-184,65,14,17,-19,6,6,12,-20,1
34,3,2,60,96,12,227,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,125,1,2,1,10,1,2,0,3,0,0,8,0,-183,71,2,22,-14,-1,7,13,-19,1
57,4,3,82,110,42,306,8,-37,6,0,0,0,1,1,0,0,0,0,0,0,1,157,2,4,2,11,3,2,1,2,0,0,7,0,-186,71,9,26,-14,-10,1,12,-11,1
40,4,3,65,104,9,264,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,129,1,4,1,10,1,1,0,3,0,0,7,0,-175,62,-3,25,-9,-1,3,8,-14,1
