@relation arousal
            
@attribute Angry numeric
@attribute ConcentrationLevel numeric
@attribute Embarrassment numeric
@attribute Excitement numeric
@attribute Hesitation numeric
@attribute ImaginationActivity numeric
@attribute IntensiveThinking numeric
@attribute Content numeric
@attribute SAF numeric
@attribute Upset numeric
@attribute ExtremeState numeric
@attribute Stress numeric
@attribute Uncertainty numeric
@attribute Energy numeric
@attribute BrainPower numeric
@attribute EmoCogRatio numeric
@attribute MaxAmpVol numeric
@attribute VoiceEnergy numeric
@attribute arousal {-2,-1,0,1,2}

@data
28,6,0,28,15,6,11,30,0,0,30,4,5,50,2239,368,32767,20,1
30,5,7,30,8,0,0,30,2,0,30,0,1,50,2238,596,32767,456,1
28,12,0,29,15,4,20,30,3,0,30,6,6,50,2333,311,32767,184,1
15,9,0,25,17,10,21,28,0,0,23,6,11,32,2076,252,23808,46,1
28,8,0,29,15,11,16,30,0,0,30,8,7,50,2313,327,32766,230,1
28,16,0,29,15,5,10,30,6,0,29,4,6,50,2324,379,32767,276,1
24,0,14,28,12,4,13,30,0,0,21,4,7,44,2301,345,32767,36,1
30,10,0,30,19,4,4,30,0,0,30,0,1,50,2342,493,32767,179,1
29,16,0,29,15,3,12,30,0,0,30,4,5,50,2320,371,32767,205,1
28,2,0,25,15,1,6,30,6,0,28,0,4,50,2040,384,32767,67,1
30,7,0,30,21,6,10,30,0,0,29,3,5,50,2351,388,32767,200,1
0,24,0,27,17,3,10,0,0,0,19,1,1,0,2170,381,32767,67,1
30,3,0,29,12,6,12,30,0,0,28,2,4,50,2294,371,32767,77,1
25,7,0,27,17,3,15,30,6,0,29,7,11,50,2197,300,32766,46,1
30,0,14,29,17,3,17,30,0,0,30,2,3,50,2151,309,32767,46,1
29,7,0,27,15,4,8,30,8,0,30,2,3,50,2183,391,32767,271,1
29,4,0,30,15,1,15,30,0,0,30,2,6,50,2414,357,32767,56,1
26,0,21,27,17,2,13,30,0,0,25,6,10,50,2186,321,32767,138,1
28,0,14,28,12,4,1,30,0,0,25,1,5,50,2226,482,32767,333,1
22,4,0,25,21,2,9,30,0,0,20,4,9,43,2077,339,32767,56,1
