@relation body

@attribute volume real
@attribute speed real
@attribute armopen real
@attribute headfb real
@attribute headud real
@attribute trunkangle real
@attribute freq real
@attribute deltay real
@attribute deltaz real
@attribute valence {-2,-1,0,1,2}

@data
2.196956823,0.026373296,1.110740871,0.25811237,0.058531778,0.885964943,0,-0.069570833,1.185795455,-1
1.514634743,0.021932696,0.951351016,0.275079495,0.11741982,0.90831864,0,0.155584964,0.392898551,-1
1.289333188,0.040733415,0.944649563,0.15989877,-0.010890871,0.868381241,0,0.077208326,-0.116510417,-1
,,,,,,,,,
1.487106398,0.027391409,0.663296938,0.075284196,0.474939278,0.911495654,0,-0.271390439,0.203201754,-1
0.858663867,0.013802594,0.439008872,0.07218128,0.484244277,0.942979953,0.084274397,0.023147104,0.515493056,-1
0.946090897,0.012276871,0.444537303,0.137778879,0.421447005,0.921005813,0.098260784,0.113393879,0.595814951,-1
1.483780946,0.01704972,0.591253009,0.05698044,0.474231073,0.886694572,0.080360013,-0.058397785,0.124973592,-1
1.527180648,0.023139995,0.737396847,0.100289774,0.446915726,0.845814999,0.05868889,-0.007496393,-0.044274283,-1
1.254282454,0.019586507,0.624227407,0.153617228,0.412593195,0.871504299,0.072616368,-0.068754454,0.369945355,-1
0.793933944,0.014792806,0.335678163,0.136656891,0.411321341,0.892377939,0.102944204,0.113761623,0.026313657,-1
0.812036806,0.015375409,0.607455312,0.14671799,0.409536325,0.901459329,0.099552016,0.144616415,-0.05946256,-1
1.29551745,0.020900355,0.588276923,0.141494815,0.433287521,0.890505392,0.106326422,0.021342952,0.092085962,-1
1.118604239,0.026922354,0.49983376,0.171410981,0.493382917,0.909892588,0.047072114,-0.114726198,0.113517442,-1
1.22557425,0.026302819,0.538044884,0.214863443,0.716472761,0.86008955,0.048358238,0.01796245,-0.179659553,-1
1.195222681,0.026094255,0.512148496,0.332315153,0.728750734,0.856320232,0.074917591,0.065713739,0.001891026,-1
1.582017464,0.056057189,0.393679055,0.194085782,0.612244221,0.944575078,0,0.148865605,0.310285948,-1
1.233536092,0.039471077,0.642317762,0.305652102,0.435992452,1.015236398,0,0.47734951,-0.51002451,-1
,,,,,,,,,
2.430228714,0.021782392,0.659642888,-0.014474499,0.707642859,1.057807274,0.066595631,-0.009765609,0.385416667,0
1.872764278,0.028753221,1.097525138,0.057014897,0.305329473,0.910699597,0,-0.137503623,0.915615942,0
1.881495121,0.041288025,1.187292536,-0.004232079,0.286177831,0.879927116,0,-0.577180769,0.889358974,0
1.642957213,0.035877262,0.837117551,-0.07701963,0.233628437,0.950569486,0,-0.680943924,-1.054461806,0
