@relation valence

@attribute Zcr numeric
@attribute Energy numeric
@attribute EnergyEntropy numeric
@attribute SpectralCentroid numeric
@attribute SpectralCentroidSpread numeric
@attribute SpectralEntropy numeric
@attribute SpectralFlux numeric
@attribute SpectralRollOff numeric
@attribute MFCC1 numeric
@attribute MFCC2 numeric
@attribute MFCC3 numeric
@attribute MFCC4 numeric
@attribute MFCC5 numeric
@attribute MFCC6 numeric
@attribute MFCC7 numeric
@attribute MFCC8 numeric
@attribute MFCC9 numeric
@attribute MFCC10 numeric
@attribute MFCC11 numeric
@attribute MFCC12 numeric
@attribute MFCC13 numeric
@attribute HarmonicRatio numeric
@attribute F0 numeric
@attribute ChromaVector1 numeric
@attribute ChromaVector2 numeric
@attribute ChromaVector3 numeric
@attribute ChromaVector4 numeric
@attribute ChromaVector5 numeric
@attribute ChromaVector6 numeric
@attribute ChromaVector7 numeric
@attribute ChromaVector8 numeric
@attribute ChromaVector9 numeric
@attribute ChromaVector10 numeric
@attribute ChromaVector11 numeric
@attribute ChromaVector12 numeric
@attribute LPC1 numeric
@attribute LPC2 numeric
@attribute LPC3 numeric
@attribute LPC4 numeric
@attribute LPC5 numeric
@attribute LPC6 numeric
@attribute LPC7 numeric
@attribute LPC8 numeric
@attribute LPC9 numeric
@attribute valence {-2,-1,0,1,2}

@data
34,1,3,54,88,8,238,5,-39,6,1,1,0,1,1,0,0,0,0,0,0,1,101,2,1,13,2,3,2,4,0,0,5,6,0,-182,66,-2,33,-8,-10,1,9,-12,-1
31,1,3,53,87,22,226,5,-39,5,1,1,1,1,1,0,0,-1,0,0,0,1,114,1,1,13,2,4,2,5,1,0,4,6,0,-195,94,-12,34,-19,-9,6,10,-19,-1
37,4,3,59,93,7,239,5,-38,5,1,1,1,1,1,1,0,-1,0,0,0,1,116,2,1,19,1,2,1,2,0,1,2,2,0,-200,104,-14,32,-21,-9,3,15,-22,-2
44,6,3,62,89,24,341,6,-37,5,0,1,0,1,1,0,0,0,0,0,0,1,132,5,1,10,1,6,1,4,1,1,5,4,1,-209,117,-10,21,-19,-9,7,16,-18,-2
32,4,3,53,89,6,303,5,-38,5,1,1,0,0,1,0,0,0,0,0,0,1,119,3,1,12,2,3,1,5,0,1,4,5,0,-201,103,-10,29,-22,-8,7,18,-24,-2
38,3,3,73,123,14,238,5,-38,5,1,1,0,1,1,0,0,0,0,0,0,1,125,3,3,12,2,4,2,3,0,1,3,7,1,-174,66,-16,43,-20,-5,-3,25,-22,-2
46,6,3,70,101,15,276,6,-37,5,1,1,0,1,1,0,0,0,0,0,0,1,126,5,1,14,2,3,2,5,1,3,2,3,0,-197,102,-13,20,-13,-6,9,12,-14,-2
32,1,3,65,119,8,298,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,107,5,0,14,1,2,0,5,0,1,3,5,1,-154,32,-12,54,-16,-8,-1,20,-23,-2
39,4,3,58,94,15,332,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,125,1,0,13,2,7,1,3,0,0,4,6,1,-195,105,-27,36,-22,-8,12,19,-33,-2
43,3,3,79,126,18,304,5,-38,5,1,0,0,1,1,0,0,-1,0,0,0,1,123,6,1,8,2,4,1,3,0,1,1,10,1,-162,50,-16,41,-10,-3,-2,14,-15,-2
37,4,3,57,94,16,282,4,-39,5,1,1,1,1,1,0,0,-1,0,0,0,1,131,1,1,17,3,4,1,2,0,1,4,3,1,-191,100,-29,38,-18,-7,6,17,-28,-2
37,4,2,57,84,16,256,6,-37,6,0,1,0,1,1,0,0,0,0,0,0,1,101,3,0,8,2,3,4,3,0,1,2,15,1,-205,100,5,23,-23,-10,7,14,-16,-2
39,5,3,68,108,15,291,5,-38,5,1,1,0,1,1,0,0,-1,0,0,0,1,129,1,1,10,3,5,2,4,0,1,4,9,1,-188,92,-27,39,-14,0,-1,11,-15,-2
40,3,2,56,83,11,249,6,-38,6,1,0,0,1,1,0,0,0,0,0,0,1,102,0,1,7,4,2,5,4,0,0,2,15,1,-199,91,2,27,-26,-1,8,16,-24,-2
41,7,3,60,84,13,323,5,-37,5,1,1,0,1,1,0,0,-1,0,0,0,1,120,5,0,8,3,5,2,5,0,1,2,9,1,-207,114,-13,21,-22,3,9,14,-23,-2
