Name,Zcr,Energy,EnergyEntropy,SpecCentro,SpecCentroSpread,SpecEntropy,SpecFlux,SpecRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,HarmonicRatio,F0,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,,,,,,,,,
alex_boredom.wav,25,0,3,70,136,3,393,3,-40,5,1,1,1,1,1,0,0,0,0,0,1,1,114,4,0,22,2,2,1,9,0,0,1,1,0,-154,48,-37,55,-10,-4,-5,21,-23
alex_boredom.wav,25,1,3,57,108,2,124,4,-40,5,1,1,0,0,1,0,0,0,0,0,1,0,113,0,0,14,1,4,4,0,0,0,1,10,0,-171,68,-44,67,-14,-4,-4,14,-23
alex_boredom.wav,33,1,3,56,98,8,300,5,-39,5,1,1,1,1,1,0,0,-1,0,0,0,1,114,0,0,15,5,1,2,1,0,0,6,8,1,-186,80,-11,39,-18,-20,14,14,-28
alex_boredom.wav,28,1,3,49,84,3,276,5,-39,5,1,1,0,0,0,0,0,0,0,0,0,0,113,0,4,17,4,8,0,8,0,0,2,3,0,-202,108,-33,56,-33,-1,10,12,-39
alex_boredom.wav,50,1,3,58,74,4,364,7,-38,6,1,0,-1,0,1,0,0,0,0,0,0,1,103,4,0,6,0,6,4,3,0,0,1,12,0,-209,104,-5,36,-21,-10,10,7,-14
alex_boredom.wav,32,1,2,45,79,3,328,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,121,0,0,8,0,2,1,2,0,0,4,13,0,-201,107,-29,46,-21,-14,21,4,-25
alex_boredom.wav,41,2,3,61,93,6,577,5,-38,5,1,0,0,1,1,0,0,-1,-1,0,0,1,113,5,3,13,0,1,3,0,0,1,1,9,0,-207,99,5,30,-18,-24,14,15,-25
alex_boredom.wav,25,1,2,49,88,2,177,4,-39,5,1,1,0,1,1,0,0,-1,0,0,1,1,107,1,0,11,0,0,7,0,0,0,2,12,0,-184,69,-3,39,-23,1,6,10,-20
alex_boredom.wav,30,1,3,51,89,2,693,3,-40,5,1,1,0,1,1,0,0,0,0,0,0,1,132,4,1,17,2,2,0,0,0,2,5,0,0,-187,89,-31,55,-25,-10,19,3,-25
alex_boredom.wav,46,1,2,69,115,39,261,7,-39,5,1,0,1,1,1,1,0,-1,0,0,0,1,121,0,1,11,0,5,0,3,0,0,4,2,0,-173,64,-24,57,-12,-22,-2,24,-19
alex_boredom.wav,32,1,3,55,101,3,157,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,98,1,1,20,1,1,3,1,0,1,7,6,0,-185,81,-20,52,-28,-6,0,20,-18
alex_boredom.wav,41,1,3,77,132,28,317,5,-39,5,1,1,1,1,1,1,0,-1,0,0,0,1,117,5,0,14,0,7,0,3,1,0,4,6,1,-167,66,-33,57,-24,-13,10,23,-28
alex_boredom.wav,29,1,2,51,88,3,277,4,-39,5,1,1,0,1,1,0,0,-1,0,0,0,1,97,3,1,11,0,4,1,8,0,0,4,11,0,-202,106,-26,47,-28,-7,10,17,-12
alex_boredom.wav,34,1,2,51,78,3,213,5,-38,6,1,1,0,0,1,0,0,0,0,0,0,1,109,1,2,12,1,3,4,0,0,0,4,11,0,-211,122,-25,42,-32,-4,15,10,-25
alex_boredom.wav,29,1,3,53,98,3,222,4,-40,5,1,1,1,1,1,0,0,-1,0,0,0,1,112,1,0,17,2,1,3,0,0,0,2,10,0,-178,68,-17,59,-36,-1,1,21,-31
alex_boredom.wav,30,1,2,56,106,4,275,4,-39,5,1,1,0,1,1,1,0,0,0,0,0,1,111,0,1,18,1,3,1,0,0,0,3,5,0,-162,49,-22,59,-25,-10,8,26,-20
alex_boredom.wav,28,1,2,48,89,2,170,4,-40,5,1,1,1,1,1,0,0,0,0,0,0,1,114,0,0,18,0,2,3,2,0,0,5,2,0,-184,77,-14,43,-20,-8,10,6,-13
alex_boredom.wav,35,1,3,57,88,9,239,6,-38,6,1,1,0,1,1,0,0,-1,0,0,0,1,110,0,0,16,0,3,7,2,0,0,3,11,0,-192,80,-2,41,-41,8,9,14,-15
alex_boredom.wav,40,1,3,57,90,20,235,7,-39,5,1,0,0,1,1,0,0,-1,0,0,0,0,100,0,0,9,0,11,1,4,1,0,4,13,0,-200,100,-25,66,-53,8,-2,32,-29
alex_boredom.wav,33,0,3,90,158,12,530,4,-40,5,1,1,1,1,1,0,0,-1,0,0,0,1,110,4,0,16,5,1,1,2,0,1,6,0,0,-127,18,-49,58,5,7,-26,26,-10
alex_boredom.wav,28,1,3,51,91,3,360,4,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,98,1,0,17,0,0,4,5,0,0,2,9,0,-191,86,-5,29,-19,-7,4,19,-24
alex_boredom.wav,22,0,3,64,135,3,177,3,-40,5,1,1,1,1,1,0,0,0,0,0,0,1,118,0,1,14,1,2,1,1,0,0,4,6,0,-140,29,-44,64,-5,-4,-2,14,-17
alex_boredom.wav,23,0,2,62,135,2,454,2,-41,4,1,1,1,1,1,0,0,0,0,0,0,1,91,0,0,16,1,1,1,8,0,0,0,1,0,-124,6,-36,68,-7,3,-26,26,-9
alex_boredom.wav,29,1,3,54,89,10,817,5,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,111,1,0,17,1,4,3,0,1,0,2,11,0,-187,86,-16,32,-10,-12,16,3,-16
alex_boredom.wav,36,1,2,53,87,14,329,6,-39,5,1,1,0,1,1,0,0,0,0,0,0,1,109,0,2,17,1,5,0,3,1,0,3,9,0,-196,105,-30,46,-26,-11,10,18,-20
alex_boredom.wav,38,2,3,57,80,8,492,6,-39,6,1,1,0,1,1,0,0,-1,0,0,0,1,104,1,2,5,5,3,5,2,0,0,2,13,1,-200,98,-6,20,-11,-5,5,12,-17
alex_boredom.wav,29,0,3,59,105,7,194,5,-40,5,1,1,0,1,1,0,0,-1,0,0,0,1,117,7,0,19,2,3,2,4,0,0,0,2,0,-182,76,-13,42,-21,-12,11,13,-20
alex_boredom.wav,28,2,3,55,106,2,202,4,-39,5,1,1,1,1,1,0,0,-1,0,0,0,1,112,1,0,13,3,1,3,6,0,0,0,16,0,-149,27,-18,45,1,3,-7,10,-16
