Time,Angry,ConcentrationLevel,Embarrassment,Excitement,Hesitation,ImaginationActivity,IntensiveThinking,Content,SAF,Upset,ExtremeState,Stress,Uncertainty,Energy,BrainPower,EmoCogRatio,MaxAmpVol,VoiceEnergy,Unknown,Valence,Arousal
16:39:40.81,0,2,7,28,13,0,0,11,0,0,0,0,0,5,612,90,7408,21,?,-1,0
16:39:44.06,13,1,0,30,19,0,0,0,2,0,4,0,0,24,794,178,4197,56,?,-1,-2
16:39:48.77,0,0,14,17,17,0,0,2,3,0,2,3,11,5,586,62,5913,20,?,-2,-2
16:39:52.00,0,0,14,22,10,0,0,7,2,0,3,0,0,19,538,106,9448,28,?,-2,1
16:40:09.17,0,4,0,24,19,1,0,4,0,0,0,2,0,4,548,75,5879,20,?,-1,-2
16:40:12.50,7,0,0,30,17,0,0,0,0,0,0,0,0,10,693,158,6013,21,?,-1,0
16:40:15.87,0,14,0,30,19,1,4,17,8,0,4,1,10,4,732,77,6147,21,?,-1,-2
16:40:26.57,0,5,0,19,15,3,4,4,0,0,5,3,5,4,576,62,5163,22,?,-2,-2
16:40:43.60,9,0,0,30,19,0,0,0,2,0,4,0,0,14,633,166,11656,20,?,-1,1
16:40:46.94,0,7,0,22,15,0,0,5,0,0,0,1,0,5,579,88,5719,21,?,-2,-2
16:40:51.38,0,1,7,25,15,0,0,6,1,0,0,0,0,7,532,90,11635,21,?,-2,0
16:40:55.96,3,2,0,28,19,0,0,0,0,0,0,0,0,12,604,133,9019,20,?,-1,0
16:41:05.20,3,0,21,29,15,1,0,0,0,0,1,0,0,8,607,132,12329,24,?,-2,1
16:41:15.36,0,0,14,25,15,0,0,10,0,0,0,0,2,6,652,93,13874,23,?,-2,0
16:45:00.79,0,7,0,22,19,4,2,7,0,0,4,9,14,2,592,53,8003,22,?,-2,-1
16:45:03.91,0,10,0,22,17,4,2,3,0,0,0,6,10,3,647,68,5640,22,?,-2,-1
16:45:08.55,0,0,14,12,21,2,4,0,1,3,0,6,16,1,515,31,4787,23,?,-2,-1
16:45:17.78,0,0,0,28,17,2,0,0,0,0,0,4,2,4,695,98,6558,20,?,-1,0
16:45:22.00,0,9,0,29,15,0,0,12,0,0,0,0,0,5,620,105,7270,20,?,-1,-2
16:45:28.49,0,6,0,21,17,0,3,4,0,0,0,9,4,4,594,69,17056,22,?,0,2
16:45:32.63,8,3,0,30,15,0,0,0,0,0,2,5,0,26,774,138,18086,74,?,0,2
16:45:37.13,0,24,0,22,19,3,3,8,6,0,0,4,2,6,611,74,13223,32,?,-2,0
16:45:40.33,0,0,7,20,15,1,0,2,0,0,0,2,5,6,591,72,9459,21,?,-2,-1
16:45:45.54,0,0,14,24,15,1,0,0,0,0,0,10,7,4,666,79,16449,21,?,0,2
16:45:50.88,15,6,0,30,15,0,0,0,0,0,6,2,0,23,854,192,17286,21,?,2,2
16:45:54.02,5,0,0,30,17,0,0,0,1,0,0,6,2,5,788,114,18689,20,?,0,2
16:45:57.25,0,0,0,27,21,0,0,0,0,0,0,4,7,3,688,89,9396,21,?,-2,0
16:46:01.72,0,30,0,30,17,0,0,0,0,0,8,2,0,12,672,119,18015,21,?,0,2
16:46:04.86,1,0,0,30,17,0,0,0,4,0,1,0,0,4,669,118,17474,22,?,2,2
16:46:09.96,5,2,0,30,19,1,0,0,3,0,2,4,0,8,697,136,18413,35,?,0,2
16:46:24.00,0,0,0,28,15,0,0,11,0,0,5,2,1,5,643,89,4033,22,?,-1,-2
16:46:27.01,1,0,7,30,15,0,0,0,0,0,0,1,0,7,695,126,9102,20,?,-2,0
16:46:31.73,0,5,0,23,17,0,1,8,6,0,1,2,5,3,628,75,7042,20,?,-1,-2
16:46:38.84,0,15,0,16,15,1,2,1,0,0,0,2,3,7,519,57,9701,23,?,-2,-1
16:46:42.16,6,9,0,30,17,0,0,0,0,0,0,0,0,7,702,150,15983,30,?,-2,1
16:47:04.62,13,0,7,30,10,0,0,0,0,0,4,0,0,13,780,186,13721,22,?,-2,1
16:47:09.53,0,4,0,26,15,0,0,0,3,0,0,3,0,7,537,107,16455,28,?,0,2
16:47:12.65,0,6,0,30,12,1,0,12,0,0,3,0,0,12,550,107,14388,39,?,2,1
16:47:25.82,0,0,7,20,17,0,0,2,0,0,0,0,0,5,535,91,13650,21,?,-2,1
16:47:30.36,0,0,7,25,15,0,0,0,0,0,4,0,0,15,543,118,9235,20,?,-2,1
16:47:43.69,0,0,28,20,12,2,0,3,0,0,0,0,0,7,539,86,8753,22,?,-2,-1
16:47:48.16,1,0,7,30,13,0,0,0,0,0,8,0,0,12,588,125,16227,21,?,-2,1
16:47:53.28,11,0,0,30,17,0,0,0,2,0,3,0,0,15,661,179,16853,20,?,2,2
16:47:59.41,11,9,0,30,12,0,0,0,3,0,3,0,0,22,598,188,8098,32,?,-1,-2
16:48:04.72,0,0,7,28,6,0,0,0,1,0,4,0,0,14,590,118,10522,22,?,-2,1
16:48:17.09,13,0,7,30,17,0,0,0,0,0,4,0,0,17,688,201,10053,25,?,-2,0
16:48:20.62,0,0,0,30,19,0,0,11,0,0,1,0,0,9,547,111,11779,21,?,-1,1
16:48:33.85,9,0,0,28,17,0,0,0,0,0,3,0,0,16,590,166,10054,26,?,-2,1
16:48:38.42,0,0,7,24,15,0,0,9,1,0,6,0,0,14,569,110,11213,22,?,-2,0
16:48:53.74,5,10,0,28,12,0,0,0,0,0,0,0,0,12,605,142,5350,21,?,-1,-2
16:48:59.05,3,0,21,28,21,1,0,0,0,0,4,0,0,10,616,139,10718,22,?,-2,1
16:49:03.53,0,0,30,25,17,0,0,0,0,0,0,0,0,9,594,120,8526,21,?,-2,0
16:49:14.77,0,0,7,25,12,0,0,0,0,0,0,0,0,8,569,152,8681,21,?,-2,-2
16:49:20.61,3,0,0,29,17,0,0,0,0,0,1,0,0,6,665,139,11290,22,?,-2,1
16:49:24.71,0,0,14,28,21,0,0,10,2,0,4,0,0,11,550,103,13167,21,?,-2,1
16:49:31.20,5,0,14,30,10,0,0,0,1,0,2,0,0,15,686,143,9043,22,?,-2,0
16:49:41.22,0,0,0,24,17,10,9,6,0,0,6,18,30,1,870,50,5345,20,?,-2,-1
16:49:48.14,0,9,0,27,19,0,0,12,3,0,0,3,6,2,584,67,7948,23,?,-1,-2
16:49:51.45,0,6,0,30,12,4,9,5,0,0,0,5,15,3,661,52,9647,22,?,-1,0
16:50:06.71,0,0,0,25,15,1,0,0,2,0,0,1,0,7,584,113,11766,26,?,-2,0
16:50:11.95,7,0,21,30,15,0,0,0,1,0,4,0,0,11,667,160,9306,23,?,-2,0
16:50:16.29,0,5,7,29,9,0,3,11,0,0,2,0,0,10,523,98,8791,21,?,-1,1
16:50:21.51,0,0,14,24,17,0,0,0,0,0,0,0,0,5,589,110,7055,20,?,-2,-2
16:50:25.62,3,0,0,26,12,0,0,0,0,0,1,0,0,11,597,132,5417,21,?,-1,-2
16:50:32.00,2,0,7,28,15,0,0,0,1,0,0,0,0,7,632,130,10322,22,?,-2,0
16:50:42.01,0,7,0,18,17,4,7,3,0,0,0,2,0,8,495,60,10158,25,?,-2,-1
16:55:45.79,0,0,7,15,15,2,3,0,4,0,0,2,12,4,506,42,4977,20,?,-1,-2
16:56:09.12,0,0,14,19,12,2,6,4,0,0,0,2,15,3,632,53,4495,20,?,-2,-1
16:56:45.10,0,0,0,26,17,1,0,13,2,0,2,0,0,15,564,113,16443,20,?,2,1
16:57:04.42,0,0,0,18,15,0,0,3,0,0,0,2,9,2,483,47,5465,21,?,-1,-2
16:57:39.88,3,0,0,28,19,0,0,0,0,0,0,0,0,13,617,143,16337,20,?,-2,1
16:57:43.19,8,0,0,30,19,0,0,0,0,0,3,0,0,11,705,164,12656,61,?,-2,1
16:57:57.84,19,4,0,30,12,0,0,0,0,0,7,0,0,16,833,244,15255,24,?,-2,1
16:58:02.33,3,0,7,28,17,0,0,0,2,0,2,2,0,9,602,134,16499,91,?,-2,1
16:58:05.47,0,12,0,30,19,2,2,23,0,0,1,0,0,4,752,103,15539,22,?,-2,1
16:58:16.70,0,0,14,20,17,0,0,5,0,0,0,0,0,4,506,81,4727,23,?,-1,-2
16:58:20.34,3,6,0,30,10,0,0,0,0,0,6,0,0,11,540,131,12667,22,?,-2,1
16:58:23.57,5,4,0,30,17,0,0,0,3,0,2,2,0,7,654,146,10093,24,?,-1,0
16:58:34.22,0,3,0,20,19,2,3,1,0,0,4,0,0,7,498,78,9406,23,?,-2,1
16:58:39.05,0,0,14,24,10,0,0,0,0,0,2,0,0,8,563,108,16331,20,?,-2,1
16:58:45.19,0,0,7,24,12,0,0,8,0,0,0,0,0,11,544,102,15190,21,?,-2,0
16:58:50.43,3,0,7,30,21,0,0,0,0,0,1,0,0,7,652,140,11066,21,?,-2,1
16:58:54.94,0,0,7,30,21,0,0,0,0,0,2,2,0,10,589,113,10926,22,?,-1,0
16:59:02.16,0,3,0,30,19,0,0,0,0,0,0,12,29,2,978,77,6305,23,?,-2,-1
16:59:08.98,0,0,0,27,17,0,3,12,0,0,0,4,9,3,568,56,10062,26,?,-1,1
16:59:11.72,0,0,14,27,17,1,3,12,0,0,0,6,1,4,653,80,10598,22,?,-2,0
16:59:26.96,0,2,0,23,10,3,2,8,0,0,0,0,9,5,580,59,6311,22,?,-2,-2
16:59:32.37,9,0,0,30,17,0,0,0,2,0,0,0,0,9,681,168,11238,20,?,2,1
16:59:47.60,0,10,0,30,10,0,0,0,0,0,10,0,0,11,512,112,9919,22,?,-1,1
16:59:52.84,0,7,0,30,15,0,0,0,0,0,3,0,0,13,593,120,9940,21,?,-1,1
16:59:57.43,0,0,7,27,15,0,0,0,1,0,1,0,0,11,611,120,11954,21,?,-2,0
17:00:06.65,0,0,7,24,17,0,0,0,0,0,0,0,0,6,596,112,6807,26,?,-2,-2
17:00:11.00,0,0,7,18,17,0,0,3,0,0,0,1,1,4,548,69,8707,25,?,-2,-1
17:00:17.49,0,3,0,30,17,2,0,13,2,0,1,2,0,8,581,100,13709,24,?,2,1
17:00:27.53,0,10,0,30,15,0,0,9,0,0,5,0,0,9,570,96,10768,21,?,-1,1
17:00:33.96,7,0,14,30,13,0,0,0,0,0,0,0,0,7,699,163,14261,21,?,-2,1
17:00:37.91,5,1,0,30,12,0,0,0,0,0,1,0,0,13,613,151,12837,23,?,2,1
17:00:44.40,7,5,0,30,12,0,0,0,2,0,3,0,0,17,649,159,12039,20,?,-2,1
17:00:49.86,0,0,0,30,15,0,0,0,0,0,0,0,0,7,679,122,10037,21,?,-2,0
17:01:02.20,0,0,7,19,11,0,0,0,0,0,0,0,0,8,481,102,5724,20,?,-1,-2
17:01:05.83,0,4,0,30,15,2,0,11,0,0,2,0,0,14,556,112,16383,25,?,2,1
17:01:09.05,0,0,0,19,17,3,10,4,0,0,0,4,15,1,538,34,8471,24,?,-2,-1
17:01:26.38,1,3,0,30,21,0,0,0,3,0,0,2,0,6,630,117,10772,23,?,-1,0
17:01:30.92,1,0,21,30,15,0,0,0,0,0,2,0,0,14,659,133,10680,21,?,-2,0
17:01:41.42,7,0,7,30,17,0,0,0,0,0,1,0,0,8,691,157,10289,23,?,-2,0
17:01:56.38,0,2,0,24,15,0,0,8,2,0,0,0,0,6,596,86,12093,24,?,-2,0
17:04:50.33,0,4,0,30,19,0,1,19,0,0,1,0,0,15,635,121,16686,21,?,2,0
17:05:44.85,3,0,14,30,15,0,0,0,0,0,3,0,0,13,674,141,16293,26,?,-2,1
17:05:48.27,5,0,28,30,17,0,0,0,0,0,3,0,0,10,695,152,13846,23,?,-2,1
17:06:06.66,21,17,0,30,12,0,0,0,0,0,9,0,0,15,904,260,14638,42,?,-2,1
17:06:09.99,0,0,21,30,15,0,0,0,2,0,0,4,0,5,601,114,13607,21,?,2,1
17:06:14.67,5,0,0,30,17,0,0,0,0,0,6,0,0,11,693,140,16285,21,?,-2,1
17:06:29.15,0,0,7,21,17,0,0,3,0,0,0,0,0,6,554,93,14842,23,?,-2,0
17:06:33.50,0,3,0,26,17,0,0,4,0,0,5,0,0,5,570,81,6343,23,?,-1,-2
17:06:36.73,0,3,0,27,19,0,0,14,0,0,0,1,0,7,621,108,11227,20,?,-2,0
17:06:45.85,0,0,28,20,17,0,0,5,0,0,0,0,0,5,511,82,12817,22,?,-2,1
