User Name,User Number,Interaction Type,Interaction Date Time
Test User, 1, Daily Companion Morning, 2016-01-15_02-36-55 

Test User, 1, Daily Companion Morning, 2016-01-15_02-37-50 

Test User, 1, Daily Companion Morning, 2016-01-15_02-44-09 

Test User, 1, Daily Companion Morning, 2016-01-15_11-25-41 

Test User, 1, Daily Companion Morning, 2016-01-15_11-44-53 
Test User, 1, Daily Companion Morning, 2016-01-15_11-47-01 
Test User, 1, Daily Companion Morning, 2016-01-15_11-47-38 
Test User, 1, Daily Companion Morning, 2016-01-15_11-57-14 
Test User, 1, Daily Companion Morning, 2016-01-15_16-18-35 
Test User, 1, Daily Companion Morning, 2016-01-15_16-23-50 
Test User, 1, Daily Companion End of Day, 2016-01-15_16-38-44 
Test User, 1, Daily Companion End of Day, 2016-01-15_16-39-20 
Test User, 1, Daily Companion End of Day, 2016-01-15_16-40-33 
Test User, 1, Daily Companion End of Day, 2016-01-15_16-42-08 
Test User, 1, Daily Companion End of Day, 2016-01-15_16-44-43 
Test User, 1, Daily Companion End of Day, 2016-01-15_16-45-44 
Test User, 1, Daily Companion End of Day, 2016-01-18_10-18-11 
Test User, 1, Daily Companion Morning, 2016-01-18_10-19-44 
Test User, 1, Daily Companion Morning, 2016-01-18_10-20-54 
Test User, 1, Daily Companion End of Day, 2016-01-18_10-27-58 
Test User, 1, Daily Companion End of Day, 2016-01-18_13-30-46 
Test User, 1, Daily Companion Morning, 2016-01-18_13-35-59 
Test User, 1, Daily Companion End of Day, 2016-01-18_13-48-10 
Test User, 1, Daily Companion Morning, 2016-01-18_13-50-04 
Test User, 1, Daily Companion Morning, 2016-01-18_15-17-08
Test User, 1, Daily Companion Morning, 2016-01-19_17-39-15
Test User, 1, Daily Companion Morning, 2016-01-19_17-44-17
Test User, 1, Daily Companion Morning, 2016-01-19_17-46-52
Test User, 1, Daily Companion Morning, 2016-01-19_17-51-30
Test User, 1, Daily Companion Morning, 2016-01-19_17-56-24
Test User, 1, Daily Companion Morning, 2016-01-20_10-50-53
Test User, 1, Daily Companion Morning, 2016-01-20_10-54-17
Test User, 1, Daily Companion Morning, 2016-01-20_11-11-42
Test User, 1, Daily Companion Morning, 2016-01-20_11-18-29
Test User, 1, Daily Companion Morning, 2016-01-20_11-23-09
Test User, 1, Daily Companion Morning, 2016-01-20_11-28-48
Test User, 1, Daily Companion Morning, 2016-01-20_11-37-02
Test User, 1, Daily Companion Morning, 2016-01-20_11-42-49
Test User, 1, Daily Companion Morning, 2016-01-20_12-08-11
Test User, 1, Daily Companion Morning, 2016-01-20_12-12-29
Test User, 1, Daily Companion Morning, 2016-01-20_12-32-37
